CXCL12	ENSG00000107537
CCL4	ENSG00000254231
VAV1	ENSG00000141756
HCK	ENSG00000101331
VAV3	ENSG00000134107
IL1R1	ENSG00000115548
WFDC2	ENSG00000101440
CCR1	ENSG00000163781
CANX	ENSG00000126882
JUN	ENSG00000177426
CX3CL1	ENSG00000006210
PDGFRL	ENSG00000104164
HSPA8	ENSG00000109919
CD4	ENSG00000010610
OLR1	ENSG00000173221
APLNR	ENSG00000134755
FCGR3A	ENSG00000198892
SEMA3F	ENSG00000001617
IFNGR1	ENSG00000027697
FCER1G	ENSG00000158748
HMOX1	ENSG00000100285
PSME2	ENSG00000100902
NR4A1	ENSG00000123297
F2R	ENSG00000180900
LCP2	ENSG00000043462
ZYX	ENSG00000159618
TYROBP	ENSG00000011600
STC2	ENSG00000113712
CSF1	ENSG00000184164
SPP1	ENSG00000118689
PLTP	ENSG00000100941
CD86	ENSG00000113838
PLAU	ENSG00000122741
SLIT2	ENSG00000144959
FGFR1	ENSG00000077721
CCL2	ENSG00000108669
OAS1	ENSG00000089123
VIM	ENSG00000026025
GMFG	ENSG00000130717
TMSB4X	ENSG00000204922
SDC1	ENSG00000115840
MSR1	ENSG00000038945
IL1RN	ENSG00000136536
TGFBR2	ENSG00000163453
B2M	ENSG00000166575
TAPBP	ENSG00000225968
LYZ	ENSG00000090376
AHNAK	ENSG00000124802
PLXNB1	ENSG00000163995
TPM2	ENSG00000198162
GPI	ENSG00000105202
TNC	ENSG00000041982
ISG15	ENSG00000187140
CCL5	ENSG00000251247
TGFBR1	ENSG00000106772
CD81	ENSG00000110514
GRN	ENSG00000030582
PRLR	ENSG00000113407
CD3E	ENSG00000198728
UNC93B1	ENSG00000110031
SECTM1	ENSG00000141540
NOX4	ENSG00000086848
ELN	ENSG00000049540
CXCR4	ENSG00000121904
HDGF	ENSG00000143248
FYN	ENSG00000010810
TAP2	ENSG00000203876
ANXA6	ENSG00000196814
FCGRT	ENSG00000104859
MMP9	ENSG00000100979
PLSCR1	ENSG00000187994
TAP1	ENSG00000168298
TGFB3	ENSG00000119681
ESR1	ENSG00000091732
STC1	ENSG00000158987
S100A10	ENSG00000197479
IL32	ENSG00000008517
THBS1	ENSG00000137720
CSF1R	ENSG00000182324
CALR	ENSG00000178999
APOD	ENSG00000188763
S100A9	ENSG00000163126
IGF1	ENSG00000017427
TGFB1	ENSG00000105323
VEGFA	ENSG00000112679
LGMN	ENSG00000100592
INPP5D	ENSG00000168827
CXCL14	ENSG00000145736
BST2	ENSG00000130227
NFKBIZ	ENSG00000144681
PIK3R3	ENSG00000117408
NDRG1	ENSG00000104412
HCST	ENSG00000126243
NFATC1	ENSG00000131116
ITGAV	ENSG00000138395
OASL	ENSG00000135063
SOCS3	ENSG00000184281
ADAR	ENSG00000160584
IFNGR2	ENSG00000158869
S100A14	ENSG00000188994
CYBB	ENSG00000165072
TNFRSF1A	ENSG00000067182
CDH1	ENSG00000039068
ANGPTL4	ENSG00000167702
LTBP2	ENSG00000119638
ENG	ENSG00000106927
HSP90AB1	ENSG00000096093
TFRC	ENSG00000072210
IRF7	ENSG00000185274
LRP1	ENSG00000123349
STAT3	ENSG00000168496
PLXNB2	ENSG00000196405
PIK3R1	ENSG00000145476
CTSB	ENSG00000164638
CIITA	ENSG00000179271
C3	ENSG00000125652
IFITM1	ENSG00000185651
MDK	ENSG00000110442
TNFRSF1B	ENSG00000028137
PTPRC	ENSG00000081189
RASGRP1	ENSG00000172425
RAC2	ENSG00000128283
TNFAIP3	ENSG00000118420
IL10RA	ENSG00000110237
IL16	ENSG00000172244
S100P	ENSG00000163930
AKT3	ENSG00000116991
MIF	ENSG00000231236
RAC1	ENSG00000136159
SOD1	ENSG00000141977
IGF1R	ENSG00000140374
INSR	ENSG00000170955
HSP90AA1	ENSG00000080823
ROBO1	ENSG00000169727
TRIM22	ENSG00000132155
SDC4	ENSG00000124104
PGF	ENSG00000119547
S100A13	ENSG00000188868
RHOA	ENSG00000067560
CD48	ENSG00000117013
LTB	ENSG00000223784
ITGAL	ENSG00000005844
PDGFRB	ENSG00000113649
SORT1	ENSG00000134138
PLAUR	ENSG00000011422
PGRMC2	ENSG00000163961
SDC2	ENSG00000169330
NRP1	ENSG00000099246
FOS	ENSG00000170262
PSMB8	ENSG00000203875
NFKBIA	ENSG00000100890
ICAM2	ENSG00000108590
SLC40A1	ENSG00000138398
CLDN4	ENSG00000188825
ISG20	ENSG00000172057
TYMP	ENSG00000025708
HSPA1A	ENSG00000204138
NAMPT	ENSG00000105810
MX1	ENSG00000157456
A2M	ENSG00000175707
VCAM1	ENSG00000162624
STAT1	ENSG00000115364
HSPA1B	ENSG00000204131
ICAM1	ENSG00000090316
CSF2RB	ENSG00000100362
EDNRA	ENSG00000151474
S1PR1	ENSG00000170873
EIF2AK2	ENSG00000055332
PSME1	ENSG00000091986
CD14	ENSG00000170373
TINAGL1	ENSG00000142748
CRIM1	ENSG00000150712
ANGPTL2	ENSG00000136813
TGFBR3	ENSG00000069702
LTBP3	ENSG00000167994
HSPA5	ENSG00000044574
CD3D	ENSG00000167193
GREM1	ENSG00000166855
CALCRL	ENSG00000064989
IRF1	ENSG00000125246
FCGR2B	ENSG00000072682
NENF	ENSG00000117625
S100A6	ENSG00000197713
PSMD3	ENSG00000108298
INHBA	ENSG00000122547
PLXNC1	ENSG00000135966
JAG1	ENSG00000101363
TNFRSF4	ENSG00000186496
CD40	ENSG00000101000
NRP2	ENSG00000118181
AZGP1	ENSG00000160746
TNFRSF12A	ENSG00000006327
PLXND1	ENSG00000004399
DDX17	ENSG00000100181
NR2F2	ENSG00000185324
LTBP1	ENSG00000049323
SDC3	ENSG00000162415
GBP2	ENSG00000162600
TNFSF10	ENSG00000121766
IL3RA	ENSG00000185070
CMTM3	ENSG00000140807
RBP7	ENSG00000162391
SEMA3C	ENSG00000075218
KITLG	ENSG00000049130
INHBB	ENSG00000163013
S100A11	ENSG00000163110
ITGB2	ENSG00000160199
PDGFA	ENSG00000197223
CRABP2	ENSG00000143228
TNFRSF21	ENSG00000145982
S100A16	ENSG00000188322
CTSS	ENSG00000163050
